# x_m,y_m,w_tr_right_m,w_tr_left_m
4.753950,15.229990,0.775000,0.775000
4.784772,15.279986,0.775000,0.775000
4.807170,15.329981,0.775000,0.775000
4.838110,15.379974,0.775000,0.725000
4.860583,15.429964,0.775000,0.775000
4.891556,15.479952,0.800000,0.725000
4.914022,15.529936,0.775000,0.775000
4.944951,15.579913,0.800000,0.750000
4.975848,15.629883,0.775000,0.775000
4.998299,15.679843,0.775000,0.775000
5.029100,15.729790,0.775000,0.775000
5.051545,15.779720,0.775000,0.775000
5.082257,15.829630,0.775000,0.775000
5.104609,15.879514,0.775000,0.775000
5.135230,15.929367,0.725000,0.775000
5.157311,15.979182,0.725000,0.775000
5.187725,16.028953,0.775000,0.775000
5.209655,16.078670,0.725000,0.775000
5.239893,16.128327,0.775000,0.775000
5.261511,16.177915,0.725000,0.775000
5.291261,16.227426,0.775000,0.725000
5.312377,16.276744,0.775000,0.775000
5.341736,16.325827,0.800000,0.750000
5.370828,16.374728,0.775000,0.775000
5.391254,16.423424,0.775000,0.725000
5.419805,16.471891,0.750000,0.750000
5.448072,16.520109,0.750000,0.775000
5.467657,16.568060,0.775000,0.750000
5.495389,16.615733,0.775000,0.700000
5.514492,16.663121,0.750000,0.750000
5.533418,16.710228,0.800000,0.750000
5.552219,16.757068,0.775000,0.700000
5.579362,16.803663,0.775000,0.650000
5.598102,16.850047,0.750000,0.675000
5.616904,16.896263,0.775000,0.675000
5.627420,16.942361,0.800000,0.650000
5.654910,16.979995,0.775000,0.675000
5.682602,17.017628,0.775000,0.650000
5.710520,17.063725,0.750000,0.650000
5.738704,17.109937,0.825000,0.600000
5.758752,17.156316,0.775000,0.725000
5.787360,17.202903,0.825000,0.725000
5.807805,17.249732,0.775000,0.725000
5.836871,17.296826,0.825000,0.725000
5.857726,17.344195,0.775000,0.725000
5.887150,17.391842,0.825000,0.725000
5.908392,17.439758,0.775000,0.725000
5.938248,17.487929,0.800000,0.725000
5.959724,17.536334,0.775000,0.775000
5.989808,17.584946,0.800000,0.725000
6.011591,17.633736,0.775000,0.725000
6.042048,17.682672,0.800000,0.725000
6.064106,17.731801,0.775000,0.725000
6.094701,17.781065,0.800000,0.725000
6.125477,17.830337,0.775000,0.725000
6.148083,17.879593,0.700000,0.775000
6.171054,17.928807,0.725000,0.775000
6.202644,17.977948,0.725000,0.775000
6.226256,18.026986,0.725000,0.725000
6.258654,18.075886,0.725000,0.750000
6.283170,18.124505,0.750000,0.750000
6.316570,18.172770,0.725000,0.775000
6.350589,18.220701,0.700000,0.800000
6.376780,18.268131,0.700000,0.750000
6.412085,18.315068,0.700000,0.775000
6.439647,18.361334,0.725000,0.750000
6.476398,18.406925,0.725000,0.775000
6.505468,18.451657,0.725000,0.800000
6.543776,18.495524,0.725000,0.775000
6.582840,18.538342,0.725000,0.800000
6.622676,18.580115,0.750000,0.825000
6.663260,18.620780,0.650000,0.850000
6.696229,18.660076,0.700000,0.825000
6.738269,18.697898,0.700000,0.875000
6.781029,18.734252,0.725000,0.900000
6.824372,18.760667,0.675000,0.975000
6.868338,18.785494,0.700000,1.000000
6.912782,18.817089,0.675000,1.050000
6.957661,18.838500,0.725000,1.100000
7.003010,18.866575,0.725000,1.175000
7.048684,18.884477,0.700000,1.250000
7.094726,18.908995,0.725000,1.250000
7.141007,18.923205,0.675000,1.350000
7.187586,18.943987,0.725000,1.400000
7.234346,18.954542,0.725000,1.500000
7.281285,18.971701,0.725000,1.500000
7.319999,18.987101,0.750000,1.500000
7.367298,18.983887,0.800000,1.300000
7.414858,18.979014,0.700000,1.350000
7.462585,18.980970,0.750000,1.350000
7.510489,18.981452,0.750000,1.300000
7.558574,18.980649,0.750000,1.250000
7.606845,18.978553,0.700000,1.200000
7.655299,18.966862,0.700000,1.150000
7.703933,18.962588,0.700000,1.200000
7.752738,18.957249,0.700000,1.150000
7.801704,18.951111,0.700000,1.075000
7.850818,18.935776,0.700000,1.075000
7.900067,18.928121,0.650000,1.100000
7.949434,18.919797,0.650000,1.050000
7.998908,18.910845,0.700000,1.000000
8.048473,18.901292,0.650000,0.975000
8.098193,18.882675,0.725000,0.975000
8.147959,18.872060,0.650000,1.000000
8.197763,18.860915,0.700000,0.950000
8.247602,18.849108,0.700000,0.975000
8.297471,18.836717,0.725000,0.875000
8.347365,18.815229,0.675000,0.875000
8.397281,18.801528,0.725000,0.875000
8.447214,18.787185,0.725000,0.850000
8.497162,18.763776,0.675000,0.900000
8.547122,18.748023,0.725000,0.875000
8.597091,18.731514,0.750000,0.850000
8.647068,18.706022,0.700000,0.850000
8.697050,18.688182,0.750000,0.800000
8.747037,18.661308,0.750000,0.875000
8.797027,18.642150,0.750000,0.825000
8.847019,18.613926,0.750000,0.875000
8.897013,18.593649,0.775000,0.825000
8.947008,18.564367,0.750000,0.850000
8.997004,18.534622,0.775000,0.825000
9.047000,18.512780,0.725000,0.825000
9.096996,18.482070,0.775000,0.825000
9.146991,18.459510,0.725000,0.825000
9.196985,18.428148,0.725000,0.900000
9.246978,18.404928,0.775000,0.850000
9.296968,18.373075,0.750000,0.875000
9.346955,18.340917,0.775000,0.850000
9.396939,18.316987,0.775000,0.875000
9.446916,18.284501,0.800000,0.850000
9.496886,18.260288,0.775000,0.875000
9.546845,18.227562,0.750000,0.875000
9.596791,18.194642,0.775000,0.850000
9.646718,18.170125,0.775000,0.875000
9.696622,18.137037,0.800000,0.850000
9.746494,18.112379,0.750000,0.850000
9.796327,18.079251,0.775000,0.875000
9.846111,18.046067,0.750000,0.850000
9.895832,18.021242,0.725000,0.850000
9.945477,17.987868,0.750000,0.850000
9.995028,17.962933,0.750000,0.850000
10.044465,17.929449,0.775000,0.900000
10.093764,17.895995,0.750000,0.850000
10.142900,17.870865,0.750000,0.850000
10.191737,17.837141,0.750000,0.850000
10.240312,17.811690,0.750000,0.875000
10.288473,17.777581,0.725000,0.900000
10.336243,17.743265,0.750000,0.875000
10.383454,17.717087,0.700000,0.875000
10.430115,17.682099,0.775000,0.875000
10.476045,17.655145,0.750000,0.850000
10.521134,17.619271,0.725000,0.900000
10.565372,17.591316,0.725000,0.850000
10.608675,17.554405,0.725000,0.900000
10.650965,17.516907,0.700000,0.925000
10.691962,17.487204,0.700000,0.900000
10.731537,17.448370,0.725000,0.925000
10.769670,17.417286,0.700000,0.950000
10.806266,17.377125,0.700000,1.025000
10.832837,17.336210,0.725000,1.025000
10.866009,17.294650,0.700000,1.075000
10.888981,17.252385,0.700000,1.100000
10.918498,17.209541,0.675000,1.175000
10.937702,17.166148,0.650000,1.275000
10.963364,17.122163,0.700000,1.275000
10.978546,17.077726,0.675000,1.450000
10.991712,17.032796,0.675000,1.400000
11.011266,16.987509,0.750000,1.400000
11.028817,16.941819,0.800000,1.450000
11.044290,16.904260,0.700000,1.650000
11.040998,16.858053,0.750000,1.375000
11.035802,16.811551,0.700000,1.400000
11.037179,16.764889,0.700000,1.400000
11.036702,16.718020,0.700000,1.350000
11.034425,16.671080,0.700000,1.200000
11.022078,16.624108,0.700000,1.200000
11.016417,16.577257,0.750000,1.200000
11.009161,16.530512,0.750000,1.150000
11.000243,16.484048,0.750000,1.100000
10.989766,16.437872,0.725000,1.100000
10.969238,16.392182,0.700000,1.050000
